ID,Stock number,Artist,Title,Year,Dimensions,Main image URL (medium),Retail Price,Image,New Price
54,197,Patricia Qualls,Carmel River Beach Series,2017,"48 x 70 in
121.9 x 177.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/e41c48e914ecf7776c5182e96dd4d163j.jpg,9500,,11999
109,186,Patricia Qualls,Carmel Point - Mystical Series,2017,"36 x 60 in
91.4 x 152.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3ac1335b993450ce0e4183518a211cb1j.jpg,8500,,10999
63,187,Patricia Qualls,Across the Generations,2014,"36 x 84 in
91.4 x 213.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/dd7454d74d5868ec5d74f76dbbef40c9j.jpg,10000,,11999
121,184,Patricia Qualls,Terrior (Diptech),2019,"96 x 24 in
243.8 x 61 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/e06f476dc6077709ef01368bc0db9e27j.jpg,7000,,8999
82,180,Patricia Qualls,Reflecting,2017,"56 x 57 in
142.2 x 144.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/38394ae12886d290f6ceb8852d4aadf1j.jpg,10000,,11999
42,179,Patricia Qualls,Loving Witness II,2020,"72 x 48 in
182.9 x 121.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/6295afbfa5bc1be4ccb3c86c16d6afa8j.jpg,12500,,14999
31,171,Patricia Qualls,City Layers,2020,"60 x 72 in
152.4 x 182.9 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/3bd42e49da9a2ee34b5fd9cecb9be2e3j.jpg,10000,,11999
16,172,Patricia Qualls,Nature (Diptych),2018,"48 x 96 in
121.9 x 243.8 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/c9e3440083ec05deed10dfd3795a1727j.jpg,14000,,16999
15,170,Patricia Qualls,Life Puzzles,2020,"60 x 84 in
152.4 x 213.4 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/33531c23a4a56ab6dbb80d5d50d2de46j.jpg,16000,,19999
144,167,Patricia Qualls,The World is Changing (Diptych),2020,"75 x 90 in
190.5 x 228.6 cm",https://datastore.artlogic.net/patriciaquallsgallery/images/view/medium/44e14495db461b82d4b36dda845aacd5j.jpg,15900,,19999
